plate	P2609-17
file	P0099_Gutaki_Tentacles_R_S2P3_STL_1_202609131456.goo
screened	2026-09-13
level	watch
islands_fix	
islands_watch	441px2@23.31mm;440px2@16.17mm;349px2@17.61mm
cups_flagged	
cups_largest	2.6mm3@0.00mm;2.6mm3@0.00mm;2.6mm3@0.00mm
resolved	2026-09-13
resolution	printed and adhered (Logan); no defect reported
