ResinTrap,226,23,5040,2041
ResinTrap,226,23,6012,2624
ResinTrap,226,23,5040,1652
ResinTrap,226,23,6012,3013
ResinTrap,226,23,6206,2624
ResinTrap,226,23,6012,3402
ResinTrap,226,23,3290,3402
ResinTrap,226,23,6401,2624
ResinTrap,226,23,6401,3013
ResinTrap,226,23,2901,2819
ResinTrap,226,23,5234,3402
ResinTrap,226,22,6206,2430
ResinTrap,226,22,6206,2819
ResinTrap,226,22,5817,3013
ResinTrap,226,22,6012,2235
ResinTrap,226,22,2706,1263
ResinTrap,226,22,2706,2819
ResinTrap,226,22,5429,1846
ResinTrap,226,22,2317,1458
ResinTrap,226,22,5429,2041
ResinTrap,226,22,6206,3208
ResinTrap,226,22,3095,3208
ResinTrap,226,22,5429,1652
ResinTrap,226,22,2512,1458
ResinTrap,226,22,5234,1846
ResinTrap,226,22,2901,1458
ResinTrap,226,22,5817,2235
ResinTrap,226,22,6206,3013
ResinTrap,226,22,5234,3596
ResinTrap,226,12,5818,1847
ResinTrap,229,22,3097,2240
ResinTrap,234,14,4857,1057
ResinTrap,238,7,3114,2222
ResinTrap,241,7,4653,1280
ResinTrap,243,7,3895,2053
ResinTrap,247,12,4824,2425
ResinTrap,251,7,4293,1250
ResinTrap,252,7,4819,2436
ResinTrap,252,7,4290,1259
ResinTrap,254,31,4622,2434
ResinTrap,254,28,2710,2012
ResinTrap,254,10,4655,1041
ResinTrap,254,7,4623,2045
ResinTrap,255,7,4621,2050
ResinTrap,255,7,4618,2055
ResinTrap,256,7,4878,1078
ResinTrap,257,9,4467,2592
ResinTrap,260,36,4647,2465
ResinTrap,261,38,4423,1053
ResinTrap,262,13,4637,2472
ResinTrap,262,10,4838,2468
ResinTrap,264,33,4649,2392
ResinTrap,264,10,2691,2022
ResinTrap,264,7,4637,2085
ResinTrap,264,7,4654,2469
ResinTrap,265,19,2715,2044
ResinTrap,265,18,4223,1465
ResinTrap,265,7,4856,1111
ResinTrap,267,7,4658,2389
ResinTrap,269,9,4503,2612
ResinTrap,270,38,4262,1256
ResinTrap,270,7,4406,1054
ResinTrap,271,7,4602,2416
ResinTrap,272,15,4427,1064
ResinTrap,272,7,2714,2038
ResinTrap,272,7,2710,2028
ResinTrap,274,7,2711,2030
ResinTrap,274,7,2713,2035
ResinTrap,275,7,4457,1070
ResinTrap,279,10,4705,2424
ResinTrap,280,18,4031,1855
ResinTrap,280,7,4252,1260
ResinTrap,284,23,4419,1076
ResinTrap,285,7,4643,3235
ResinTrap,286,52,4458,3402
ResinTrap,286,13,4036,1820
ResinTrap,288,20,4462,2687
ResinTrap,291,7,4475,3389
ResinTrap,292,13,4471,3390
ResinTrap,295,47,3834,2029
ResinTrap,295,17,3876,2110
ResinTrap,295,7,3881,2111
ResinTrap,295,7,2742,2039
ResinTrap,299,39,4625,2387
ResinTrap,299,20,4457,1049
ResinTrap,300,23,4683,1066
ResinTrap,300,7,4686,1069
ResinTrap,305,49,4633,2453
ResinTrap,306,16,4462,2612
ResinTrap,307,57,4646,2417
ResinTrap,309,69,4653,2437
ResinTrap,311,45,4681,2407
ResinTrap,311,7,3870,2085
ResinTrap,312,7,3868,2089
