# Base/size reference captured from the Paizo Printables Google Sheet
# https://docs.google.com/spreadsheets/d/136R7lDaQ5BK42xDqrfJR8dN6XYIWq2PyM0_lwJQH2jU/edit?gid=0
# Joined to model directories on the P-number. Re-capture when a new release lands.
code	name	base_mm	size	pack	mmf
P0058	Quinn, Iconic Investigator	25	Medium	WP4	https://www.myminifactory.com/object/3d-print-quinn-iconic-investigator-816626
P0059	Horned Dragon	50	Large	WP4	https://www.myminifactory.com/object/3d-print-horned-dragon-816627
P0060	Vrolikai Demon	50	Large	WP4	https://www.myminifactory.com/object/3d-print-vrolikai-demon-816628
P0061	Goblin Pyro	25	Small	WP4	https://www.myminifactory.com/object/3d-print-goblin-pyro-816629
P0062	Goblin Warrior	25	Small	WP4	https://www.myminifactory.com/object/3d-print-goblin-warrior-816630
P0063	Goblin Commando	25	Small	WP4	https://www.myminifactory.com/object/3d-print-goblin-commando-816631
P0064	Goblin Chanter	25	Small	WP4	https://www.myminifactory.com/object/3d-print-goblin-chanter-816632
P0082	Bosun	25	Medium	S2P1	https://www.myminifactory.com/object/3d-print-bosun-816616
P0083	Marine Marauder	25	Small	S2P1	https://www.myminifactory.com/object/3d-print-marine-marauder-816617
P0084	Ocean Nomad	25	Medium	S2P1	https://www.myminifactory.com/object/3d-print-ocean-nomad-816618
P0085	Grindylow	25	Small	S2P1	https://www.myminifactory.com/object/3d-print-grindylow-816619
P0086	Sea Hag	25	Medium	S2P1	https://www.myminifactory.com/object/3d-print-sea-hag-816620
P0087	Sargassum Heap	50	Large	S2P1	https://www.myminifactory.com/object/3d-print-sargassum-heap-816621
P0088	Cheliax Marine	25	Medium	S2P2	https://www.myminifactory.com/object/3d-print-cheliax-marine-824641
P0089	Cheliax Naval Officer	25	Medium	S2P2	https://www.myminifactory.com/object/3d-print-cheliax-naval-officer-824642
P0090	Cheliax Naval Captain	25	Medium	S2P2	https://www.myminifactory.com/object/3d-print-cheliax-naval-captain-824644
P0091	Deep One	25	Medium	S2P2	https://www.myminifactory.com/object/3d-print-deep-one-824645
P0092	Flotsam Terror	25	Small	S2P2	https://www.myminifactory.com/object/3d-print-flotsam-terror-824646
P0093	Living Waterfall	50	Large	S2P2	https://www.myminifactory.com/object/3d-print-living-waterfall-824649
P0094	Athamaru	25	Medium	S2P3	https://www.myminifactory.com/object/3d-print-athamaru-837904
P0095	Rigger	25	Medium	S2P3	https://www.myminifactory.com/object/3d-print-rigger-837905
P0096	Subaquatic Marauder	25	Medium	S2P3	https://www.myminifactory.com/object/3d-print-subaquatic-marauder-837912
P0097	Draugr	25	Medium	S2P3	https://www.myminifactory.com/object/3d-print-draugr-837913
P0098	Reefclaw	25	Small	S2P3	https://www.myminifactory.com/object/3d-print-reefclaw-837915
P0099	Gutaki	50	Large	S2P3	https://www.myminifactory.com/object/3d-print-gutaki-837916
P0100	Scylla	75	Huge	S2PB	https://www.myminifactory.com/object/3d-print-scylla-837920
# Extras-sale packs have no P-number, so they are keyed by directory name.
# Only those whose base size is known are listed; anything absent falls back to
# DEFAULT_BASE_MM (25mm). The Ironkettles wall is three minis in an army
# defence unit, not terrain, so it takes the 25mm default.
PQ0030_Hellknight_Chargers	Hellknight Chargers	50		extras	https://www.myminifactory.com/object/3d-print-hellknight-chargers-768554
Paizo_cave_bear_Supported	Cave Bear	50		extras	https://www.myminifactory.com/object/3d-print-cave-bear-768525
Paizo_elk_Supported	Elk	25		extras	https://www.myminifactory.com/object/3d-print-elk-768529
Paizo_fire_serpent__Supported	Fire Serpent	50		extras	https://www.myminifactory.com/object/3d-print-fire-serpent-768531

# Extras packs named by the browser agent (2026-09-11). Base size is left
# blank: MyMiniFactory states none, so DEFAULT_BASE_MM (25mm) applies until
# corrected. The Hellknight Chargers, cave bear and fire serpent are recorded
# above with their real 50mm; Logan confirmed the Chargers' 50mm on 2026-09-13.
# The elk is 25mm, not 50: Logan ruled on 2026-09-13 that it fits on 25mm
# because it rears up on its hind legs.
Paizo_orc_malee_Supported	Orc Melee (Pathfinder Quest)	25		extras	https://www.myminifactory.com/object/3d-print-orc-melee-pathfinder-quest-768516
Paizo_bastions_Supported	Hellknight Bastions	25		extras	https://www.myminifactory.com/object/3d-print-hellknight-bastions-768553
Paizo_Augustana_irregulars_A_Supported	Augustana Irregulars	25		extras	https://www.myminifactory.com/object/3d-print-augustana-irregulars-768550
Paizo_Grave_Knight_Supported	Graveknight	25		extras	https://www.myminifactory.com/object/3d-print-graveknight-768537
Paizo_Signifers_Supported	Hellknight Signifers	25		extras	https://www.myminifactory.com/object/3d-print-hellknight-signifers-768556
Paizo_Ironkettles_wall_Supported	Ironkettle's Wall	25		extras	https://www.myminifactory.com/object/3d-print-ironkettle-s-wall-768558
Paizo_Hellknight_Sharpshooters_Supported	Hellknight Sharpshooters	25		extras	https://www.myminifactory.com/object/3d-print-hellknight-sharpshooters-768555
Paizo_Merandals_Hawks_Supported	Merandal's Hawks	25		extras	https://www.myminifactory.com/object/3d-print-merandal-s-hawks-768560
Paizo_goblin_spellcaster_Supported	Goblin Spellcaster (Pathfinder Quest)	25		extras	https://www.myminifactory.com/object/3d-print-goblin-spellcaster-pathfinder-quest-768509
PQ0041_Dread_Zombie	Dread Zombie	25		extras	https://www.myminifactory.com/object/3d-print-dread-zombie-768527
