plate	P2609-19
file	P0031_Sarglagon_Drowning_Devil_Arm_R_S1P1_STL_1_202609140955.goo
screened	2026-09-14
level	watch
islands_fix	
islands_watch	917px2@16.08mm;484px2@15.57mm;368px2@26.61mm
cups_flagged	
cups_largest	2.6mm3@0.00mm;2.6mm3@0.00mm;2.6mm3@0.00mm
cups_above_raft_mm3	0.0
resolved	2026-09-14
resolution	Sarglagon Arm R reprint printed successfully (Logan)
