plate	P2609-14
file	P0099_Gutaki_Body_S2P3_Blueprint-Supports.stl_0.030_2.800_2026_09_12_19_37.goo
screened	2026-09-12
level	fix
islands_fix	2184px2@42.45mm;1864px2@42.72mm;1642px2@41.64mm;1557px2@12.45mm;1176px2@38.55mm
islands_watch	511px2@25.23mm;459px2@12.90mm;408px2@23.97mm;367px2@11.91mm;358px2@32.76mm;346px2@22.17mm
cups_flagged	3443.0mm3@23.55mm;879.4mm3@22.83mm;474.1mm3@22.26mm;362.9mm3@18.60mm;171.0mm3@21.39mm;63.6mm3@14.52mm
cups_largest	3443.0mm3@23.55mm;879.4mm3@22.83mm;474.1mm3@22.26mm
cups_above_raft_mm3	5443.8
resolved	2026-09-12
resolution	cancelled before completion on this very screen result - hollowing traded islands for suction
