plate	P2609-18
file	P0099_Gutaki_Tentacles_L_S2P3_STL_2_202609132035.goo
screened	2026-09-14
level	watch
islands_fix	
islands_watch	637px2@15.27mm;514px2@20.46mm;439px2@17.22mm;395px2@17.40mm;389px2@14.76mm;364px2@14.67mm
cups_flagged	
cups_largest	2.6mm3@0.00mm;2.6mm3@0.00mm;2.6mm3@0.00mm
resolved	2026-09-14
resolution	printed great (Logan); no defect reported
